タイトル,URL,発行日,カテゴリ,本文
話題の進化系あんこスイーツに着目した新商品を発売＝井村屋,https://diamond-rm.net/sales-promotion/225848/,2022/09/24 16:30,商品・売場トレンド,　井村屋のあんこは、1962年に発売し、今年で60周年を迎えた「ゆであずき」をはじめ、あずきの風味を活かした加工技術とおいしさに定評がある。近年、お酒を使用したスイーツが広まってきており、とくにお酒入りのチョコレートは50～70代女性を中心に人気だ。また、あんこを使った商品や和菓子も年代が高くなるにつれて好まれる傾向にある。そこで同社では、手軽にお酒とあんこの組み合わせが楽しめる「お酒入りあんこ」商品を開発した。　「ラム酒香るあんこ」は、濃厚で香り豊かなダークラムのプレミアム品と呼ばれるマイヤーズラムとラムレーズンミンチを使用。あずきと相性のよいラム酒とレーズンを選定した。「日本酒香るあんこ」は、フルーティーで上品な味わいが特徴の自社醸造「福和蔵 純米吟醸」のお酒と酒粕を使用。マスカットのような華やかな香りとりんごのようなさわやかな酸味が広がる。これまでにない組み合わせのスイーツを発売することで、新たな市場開拓をめざす。
コストインフレが危惧される物流の「2024年問題」効率化の努力は必須の状況に,https://diamond-rm.net/sales-promotion/225859/,2022/09/24 07:30,商品・売場トレンド,働き方改革が進むトレンドの中で、2024年4月1日から「自動車運転業務における時間外労働時間の上限規制」が適用される。物流需要が増すなかで、すでに問題化しているトラックドライバー不足はさらに加速し、全体として物流コストの急上昇につながる「物流コストインフレ」が危惧されている。　物流の需要に対して供給が追いついていないことから、物流危機が指摘されている。　需要サイドから見ると、ECの拡大による宅配便の急増や、多品種・小ロット輸送の増加によるトラック積載効率の低下などが指摘されている。　一方、供給サイドを見ると、トラックドライバー不足が深刻だ。競争が激化するなかで、ドライバーの労働環境が悪化し、2000年代後半以降、ドライバー数は急減している。　さらに2019年4月1日に施行された働き方改革関連法による「時間外労働の上限規制」では、時間外労働の上限を定めており、大企業では2019年4月から、中小企業では2020年4月から施行された。　ただし、「自動車運転の業務」などいくつかの分野については、時間外労働の上限規制の適用が2024年まで延期されている。これが「物流の2024年問題」としてクローズアップされている。
マルコメが初の「みそJAS」認証を取得＝マルコメ,https://diamond-rm.net/sales-promotion/225845/,2022/09/23 16:30,商品・売場トレンド,　「みそJAS（日本農林規格）」は、みその海外市場における競争力の強化や日本からの輸出拡大などを目的に、今年3月31日に制定された。生産時に使用するこうじ菌を「アスペルギルス・オリゼー」に限定、こうじは「ばらこうじ」または「豆こうじ」で生産することが規格化されたことで、日本の伝統的な製法でつくられたみそであることを示すことができる。　今回、みそで初めてJASマークを表示する「料亭の味」は、今年で発売40周年を迎えるマルコメのベストセラー商品。風味豊かな信州赤系のコメみそをベースに、かつおだし、昆布だしを程よくブレンドした、だし入りみそ。パッケージには、2022年10月より期間限定で出荷する復刻デザインからJASマークを表示する予定だ。「料亭の味」には、〈減塩〉や、上品な味とコクが特徴の焼きあごだしをベースにした〈あごだし〉、信州みそに麦みそを合わせたまろやかな旨味と甘みのある〈米麦合わせ〉などをラインアップしている。
オートミール市場、健康志向の高まりで市場が急成長、メーカー各社の市場参入で品揃えも拡充,https://diamond-rm.net/sales-promotion/225852/,2022/09/23 07:30,商品・売場トレンド,コロナ禍による内食需要の拡大や健康志向の高まりを背景に、オートミール市場が急成長している。需要の拡大を受けて、昨年からメーカー各社の市場参入が相次ぎ、商品のバリエーションが拡充。ユーザーの年齢層も広がりを見せていることから、今後もさらなる市場の拡大が期待される。　コロナ禍による内食機会の増加や健康志向の高まりを受けて、好調に推移しているシリアル市場。なかでもオートミールが急速に成長している。　もともとアスリートの食事や離乳食などオートミールを生活に取り入れている人は一部にはいたものの、一般的にはあまり浸透していなかった。需要拡大のきっかけとなったのが、新型コロナウイルス感染症の拡大だ。　2020年に入ってからSNSで徐々に話題となり、ステイホーム生活が長期化するなかで、その健康価値や簡便性、保存性の高さに注目が集まった。さらにテレビの情報番組などで取り上げられたことにより認知が広がり、人気が急上昇している。　そもそもオートミールとは、オーツ麦を脱穀して食べやすく加工したもの。食物繊維や鉄分、ビタミンB1、たんぱく質などの栄養素を豊富に含み、米と比較してカロリーが低く糖質量も少ない。また、調理方法が簡単なため、主食として米の代わりに日常の食卓に取り入れられるほか、幅広いメニューにアレンジできる点も評価され、美容や健康に関心の高い層を中心に支持を集めている。　KSP-POSデータをみると、オートミールの期間通算（2021年８月～22年７月）の金額PIは480円で前年同期比83.59％増と大きく伸長した。月別動向をみると、22年６月を除くすべての月で前年を大幅に上回っている。22年６月に、金額PIは高い水準で推移しながらも前年同期比が減少しているのは、１年前にテレビ番組でオートミールが取り上げられており、その影響で売上が大きく伸びたことによる反動とみられる。
ごま油市場、活用シーンが広がり、22年も引き続き堅調な拡大が続く,https://diamond-rm.net/sales-promotion/225855/,2022/09/23 07:30,商品・売場トレンド,おいしさに加え健康面でも支持されているごま油。家庭でごま油を使う料理が増えていることから順調に拡大を続けている。風味油として定着しているごま油は、コロナ特需が一巡した2022年上期も堅調な伸びとなっている。　家庭用食用油の中で、キャノーラ油、オリーブオイルに次いで3番目に大きなカテゴリーに成長したごま油市場。コロナ禍の内食機会の増加で他の食用油同様に使用頻度が高まり、2020年は急成長した。　とくにごま油は中華系メニューで使用されることが多いが、それ以外にもごま油を使う料理が増えていることが予想される。21年はその反動で微減となったが、19年対比では大きく伸長しており、確実にベースアップを果たしている。　KSP-POSデータによると、ごま油の期間通算（2021年8月～22年7月）の金額PIは、1700円で対前年同期比0.8％増、数量PIは5.33で同1.5％減。月別金額PIでは微減の月もあるがほぼ前年並みとなった。また7月は価格改定の影響で、数量PIは同2.5％減だが、金額PIでは同2％増となった。　リノール酸やオレイン酸などの不飽和脂肪酸が多く含まれているごま油は健康油として認知が広がっており、中高年から支持されている。かどや製油では、ごま油業界初の特定保健用食品を取得した「健やか ごま油」を発売。セサミンとセサモリンが血清LDLコレステロールを減らすのを助ける。1日当たり大さじ（14g）摂取が目安になっており、毎日の食卓に取り入れやすい。　日清オイリオグループでは、今年の春に機能性表示食品の「日清ヘルシーごま香油セサミンプラス」を発売。機能性をわかりやすく表示した商品の投入で、健康に気づかう人を取り込む。
バイヤー必見！今行くべき専門店 進化形カクテル「ミクソロジー」の世界を知る,https://diamond-rm.net/management/225627/,2022/09/23 05:55,経営,"　ミクソロジーカクテルをご存じだろうか？英国が発祥と言われおり、ニューヨークやロンドンなど流行の発信地ではかつてから注目を浴びており、日本でも楽しめるお店が増えている。今、この“進化形カクテル”といっても過言ではないマーケットに注目している。　「ミクソロジー」とは、混ぜる（MIX）と科学・学問を意味する（～OLOGY）を組み合わせた造語だ。ミクスロジストと言われる、ミクソロジーカクテルを作るバーテンダがそのクリエイティブな創造力を生かし、フレッシュなフルーツや野菜、本格的なリキュールを組み合わせてさまざまなドリンクを創り出していく。　その魅力は、その鮮やかな見た目やカクテルのコンセプト、ストーリー、さらにはミクソロジストの存在にある。ミクソロジストが創り出すカクテルの1杯は、その「人」でなければ創り出せない。昨今はドリンクやカクテルにおいても多様な店やメニューが登場し、差別化が困難になっているなか、そこでしか味わえないという来店動機をつくることができる。コロナ禍で外食の真価が問われているなか、やはりその魅力は「人」との関わりにあることを実感させる。　また、飲料シーンにおいては、多様化するマーケットのなかで、ノンアルコール商品にも注目したい。これら飲料マーケットの新たなトレンドから、流通小売業の飲料開発にも活かせるヒントを探っていきたい。　こちらは、日本におけるミクソロジーカクテルの第一人者である南雲主于三（なぐもしゅうぞう）氏の手がけるお店。
南雲氏が生み出す数々の１杯からは、クリエイティブな創造力だけではなく、その組み合わせを科学する技術もミクソロジーカクテルには必要であることが伺える。演出の組み合わせも驚きの連続で、カクテルなのにフォアグラ、チョコレート、ブルーチーズなどを組み合わせた1 杯 は 、 シグニチャーカクテルといっても過言ではない。　自家製燻製などの料理も充実しており、料理とともに、ミクソロジーカクテルのサプライズを楽しんで欲しいお店だ。店舗名 　　「The Bar codename MIXOLOGY akasaka 」
所在地　　　東京都港区赤坂 3- 14- 3 渡林赤坂ビル 2F
営業時間　　18：００～２6 ：00、 土17:00～23:00
定休日　　　不定休"
コンセプト、看板メニュー、SNS…行列店に学ぶZ世代に支持される店の作り方,https://diamond-rm.net/management/225761/,2022/09/23 05:55,経営,兵庫県神戸市の元町駅近くに、Z世代の女性が行列を作る居酒屋『TOKI』がある。若年層のアルコール離れが叫ばれる昨今だが、同店ではFD比率（売上に占めるフードとドリンクの構成比）が58%対42%と平均*よりやや上回ってアルコールをしっかり売り、15坪・38席で月商600万円を叩き出す。看板メニューを明確にし、空間づくりや提供方法、SNSでの発信など、若きオーナーの手腕が冴える「Z世代に支持される店の作り方」を紹介する。*一般的な居酒屋はドリンク比率が40％　冒頭の居酒屋『TOKI』を含め神戸で３店の飲食店を運営する（合）TABEARUKI。経営するのは大手通販会社のWEB担当を経て、東京の大手飲食企業で経験を積んだ35歳の石原優樹氏だ。　石原氏は大手飲食企業で様々な業態の店舗開発やメニュー開発に携わった経験から、お客が年に一度利用するハレの日使いの高級レストランよりも低価格でリピート率・回転率が高い日常使いの居酒屋の年商の方が上回るケースが多々あることを知り、“利用頻度”の重要性を実感したという。　さらに30～50代男性を中心に集客する居酒屋が巷に多いことから、「ならば若年層の女性はどこで飲食するのか？」と考え、若年層向けの居酒屋業態に着目。また繁盛している他店を分析する中で客単価が安くても「心地のよい上質な空間での飲食は重要」と考えた。そしてさまざまな業態のメニュー開発を行う中で「老若男女が好きな分かりやすい料理を、味や盛り付けなどでいかに特別にするかが重要」と考えるようになった。　こうした考えから、開業した居酒屋『TOKI』は、20代の女性をターゲットにオシャレで清潔感のある空間、「女性が可愛いと思う」（石原氏）民芸の器、シズル感のある盛り付けにこだわる。客単価を2800円に設定し、料理のコンセプトは“特別な普通味”で看板メニューは唐揚げ。その結果、15坪38席で月商600万円を売る大ヒット店舗となった。
有機スパイス・ハーブ使用 「ORGANICシーズニング」シリーズを新発売=エスビー食品,https://diamond-rm.net/sales-promotion/225841/,2022/09/22 16:30,商品・売場トレンド,　SDGsへの注目が高まっていることなどを背景に、30代を中心に有機食品への興味・関心が広がっている。一方で、有機食品は「価格が高い」とのイメージを持っている人も多いのが現状だ。そこでエスビー食品では、有機スパイス・ハーブを使用した「ORGANICシーズニング」シリーズを新発売。同商品は、環境への負荷をできる限り少なくする方法で栽培された有機スパイス・ハーブを使用した有機JAS認証のシリーズ。すべての工程にこだわっており、有機スパイス・ハーブを中心とした味づくりにより、おいしさと香り立ちを表現し、有機ごまを使用することで奥行きのある味わいを実現した。　シリーズは〈プロヴァンス風アボカドとトマトのサラダ〉、〈3種のハーブのグリーンサラダ〉、〈ジャーマンポテトペッパー＆ガーリック〉など6品を展開。トライアルのしやすさ、環境配慮をコンセプトとしたシーズニングの発売により、「〝おいしく食べて環境にもやさしい〟スパイス＆ハーブ」の新たな価値を提案する。
漬物・キムチ市場、中高年層が支えるカテゴリー、メニュー提案で若年層にも訴求,https://diamond-rm.net/sales-promotion/225838/,2022/09/22 07:30,商品・売場トレンド,コロナ禍で伸長した漬物カテゴリーだが、今期は前年の反動を受け、微減に転じている。売場を再活性化するにはご飯のお供としてだけでなく、料理に混ぜる、トッピングで使用するといったメニュー提案で若年層に訴求することも重要となる。　KSP-POSデータによると、2021年8月から22年7月の漬物カテゴリー全体の期間通算金額PIは前年同期比3.8％減の20712円、数量PIは3.9％減の101.7と、金額・数量共に前年を下回る結果となった。　漬物の定番である「キムチ」はカテゴリー全体と比較しても厳しく、21年8月から22年7月の期間通算の金額PIは7.4％減の5721円。特に年末年始にあたる21年12月から22年1月、ゴールデンウィーク期間の5月は前年比で2ケタのマイナスとなっている。　他の漬物類についても「たくあん」が前年並みを保った程度でどのカテゴリーも前年に対し微減となっており、コロナ禍により内食機会が急増した前年の反動を大きく受けたことが分かる。　一方、食品需給研究センターの「食品製造業の生産動向調査」によると、21年の漬物の生産量は前年比5.1％増の81万6627トンと4年連続の伸長となった。月別で見てもすべての月で前年超え。サブカテゴリー別で見ると、塩漬け類は前年を下回ったが、「しょうが漬け」（前期比11.2%増）や「キムチ」（同13.9%増）「たくあん漬け」（ 同13.1%増）は2ケタの大幅伸長。また「浅漬け」や「野菜刻み漬け」「その他醤油漬け」、「奈良漬」「味噌漬け」についても前年を上回る生産量となっている。
堅調な滑り出しのららぽーと福岡、広域集客の“要”の新規オープンでどう変わる ! ?,https://diamond-rm.net/store/223694/,2022/09/22 05:55,店舗,三井不動産（東京都／菰田正信 代表取締役社長）は九州初進出となる広域型ショッピングセンター（RSC）、「三井ショッピングパーク ららぽーと福岡」を4月25日に開業したが、食物販と飲食ゾーンを中心に「おおむね想定通り」（同社）の滑り出しで、今後は物販店舗への波及を目指す。また7月31日に子供向け職業体験施設「キッザニア福岡」がオープンしたことから、情報発信を強化し、より広域からの集客にも期待したい考えだ。　ららぽーと福岡は三井不動産が九州電力、西日本鉄道と共同で開発した広域型ショッピングセンター。博多駅や福岡空港からもアクセスが良い旧青果市場跡地の8万6600㎡を再開発した。　屋外を中心に9カ所の広場を設け、フットボール場や貸し農園などを配置。「福岡おもちゃ美術館」など九州初、福岡初進出の店をそろえ、年間施設売上高は400億円を目指している。　ららぽーと福岡の最大の特徴はカスケード（階段のように連なった滝）状に1階から5階屋上まで全てのフロアに合計9つの広場（パーク）を設置したことだ。　「買物をするだけでなく、ゆっくり時間を過ごし、プラスアルファの楽しみ方をしてもらうことで、次の来館のきっかけにしたい」と三井不動産 商業施設本部 商業施設運営部 運営企画グループ主事の石塚勇輝氏は話す。　特に4階屋外の「スポーツパーク」には200m陸上トラックやテニスコート、3×3バスケットボールのコートを設置。人工芝を敷設し館内から直接アクセスできるため、客はピクニック気分で買物を楽しめる。陸上トラックは地元の中学校の部活動に無償で提供している。　1階に広がる約4000㎡の広場とそれを階下に眺める2階の遊歩道で構成する屋外広場の「オーバルパーク」は、くつろげる空間として多くの客でにぎわう。開業直後に中学校の吹奏楽部のコンサートや地元の太鼓団体の公演を開くなど、まずは地元住民の発表の場として利用。今後は法人の利用や地元で盛んなスポーツ関連のイベントにも利用を拡大していく。　日当たりのいい3階屋外の「アグリパーク」には貸し農園施設「シェア畑」とバーベキュー施設を配置したが、貸し農園はすでに多くの利用者がいるという。
